@relation highlypreprocessed-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6

@attribute id numeric
@attribute account_status {<0,0<=X<200,'no checking',>=200}
@attribute debt_status {'critical/other existing credit',paid,'delayed previously'}
@attribute credit_reason {radio/tv,education,furniture,car,business,repairs,other}
@attribute credit_amount {1K<=X<2K,5K<=X<10K,2K<=X<3K,4K<=X<5K,3K<=X<4K,X>=10K,X<1K}
@attribute savings_amount {0,<100,500<=X<1000,>=1000,100<=X<500}
@attribute employment {>=7,1<=X<4,4<=X<7,unemployed,<1}
@attribute gender:family {'male single','female div/sep/mar','male div/sep','male mar/wid'}
@attribute age {X>=50,X<25,40<=X<50,30<=X<40,25<=X<30}
@attribute job_status {skilled,unskilled,'highly skilled'}
@attribute loan_status {yes,no}

@data
770,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,>=7,'male single',X>=50,unskilled,yes
771,<0,paid,car,2K<=X<3K,0,>=7,'female div/sep/mar',25<=X<30,skilled,yes
772,<0,'critical/other existing credit',education,5K<=X<10K,<100,1<=X<4,'female div/sep/mar',25<=X<30,'highly skilled',no
773,'no checking','critical/other existing credit',car,3K<=X<4K,<100,>=7,'male single',30<=X<40,'highly skilled',yes
774,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,100<=X<500,>=7,'male single',X>=50,skilled,yes
775,>=200,'critical/other existing credit',car,1K<=X<2K,500<=X<1000,unemployed,'male single',X>=50,unskilled,yes
776,<0,paid,car,1K<=X<2K,0,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
777,'no checking','critical/other existing credit',car,3K<=X<4K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
778,<0,paid,radio/tv,3K<=X<4K,<100,4<=X<7,'female div/sep/mar',25<=X<30,skilled,yes
779,'no checking','critical/other existing credit',car,5K<=X<10K,>=1000,>=7,'male single',30<=X<40,'highly skilled',yes
780,0<=X<200,paid,repairs,3K<=X<4K,<100,unemployed,'female div/sep/mar',X>=50,skilled,yes
781,0<=X<200,'critical/other existing credit',radio/tv,4K<=X<5K,<100,4<=X<7,'male single',25<=X<30,skilled,no
782,'no checking','critical/other existing credit',car,1K<=X<2K,>=1000,>=7,'male single',X>=50,skilled,yes
783,0<=X<200,paid,other,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,unskilled,yes
784,0<=X<200,paid,car,X<1K,100<=X<500,<1,'female div/sep/mar',X<25,unskilled,no
785,0<=X<200,paid,car,5K<=X<10K,0,unemployed,'male div/sep',X>=50,'highly skilled',yes
786,0<=X<200,paid,business,1K<=X<2K,>=1000,1<=X<4,'male single',30<=X<40,unskilled,yes
787,'no checking',paid,radio/tv,2K<=X<3K,500<=X<1000,>=7,'male single',40<=X<50,skilled,yes
788,'no checking','critical/other existing credit',car,2K<=X<3K,0,>=7,'male single',30<=X<40,skilled,yes
789,0<=X<200,'delayed previously',education,5K<=X<10K,<100,>=7,'male single',X>=50,skilled,no
790,<0,'critical/other existing credit',education,5K<=X<10K,<100,1<=X<4,'male single',25<=X<30,skilled,no
791,0<=X<200,paid,business,1K<=X<2K,<100,>=7,'female div/sep/mar',30<=X<40,skilled,no
792,'no checking',paid,car,5K<=X<10K,0,>=7,'male single',40<=X<50,'highly skilled',yes
793,'no checking','critical/other existing credit',furniture,1K<=X<2K,0,1<=X<4,'male mar/wid',25<=X<30,skilled,yes
794,>=200,paid,furniture,2K<=X<3K,<100,>=7,'male div/sep',X>=50,skilled,yes
795,'no checking',paid,furniture,3K<=X<4K,500<=X<1000,>=7,'male single',30<=X<40,skilled,yes
796,'no checking',paid,furniture,2K<=X<3K,100<=X<500,<1,'female div/sep/mar',X<25,skilled,yes
797,<0,paid,car,5K<=X<10K,0,>=7,'male single',X>=50,skilled,no
798,'no checking','critical/other existing credit',furniture,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,unskilled,yes
799,'no checking','delayed previously',car,X<1K,0,>=7,'male mar/wid',X>=50,skilled,yes
800,0<=X<200,paid,car,1K<=X<2K,0,<1,'male single',30<=X<40,unskilled,yes
801,'no checking','critical/other existing credit',education,1K<=X<2K,<100,>=7,'male single',X>=50,skilled,yes
802,0<=X<200,'critical/other existing credit',radio/tv,1K<=X<2K,<100,>=7,'female div/sep/mar',40<=X<50,unskilled,yes
803,<0,'critical/other existing credit',furniture,4K<=X<5K,<100,>=7,'female div/sep/mar',X<25,skilled,yes
804,'no checking','critical/other existing credit',radio/tv,X<1K,0,>=7,'male single',30<=X<40,skilled,yes
805,0<=X<200,paid,car,5K<=X<10K,0,unemployed,'female div/sep/mar',X<25,unskilled,yes
806,<0,paid,car,5K<=X<10K,<100,4<=X<7,'male single',X<25,skilled,no
807,0<=X<200,paid,radio/tv,X<1K,<100,<1,'male mar/wid',25<=X<30,unskilled,yes
808,'no checking','critical/other existing credit',radio/tv,X<1K,0,>=7,'male single',X>=50,skilled,yes
809,0<=X<200,paid,car,5K<=X<10K,<100,unemployed,'male single',X>=50,'highly skilled',yes
810,0<=X<200,paid,car,1K<=X<2K,<100,<1,'female div/sep/mar',25<=X<30,unskilled,no
811,0<=X<200,paid,business,X<1K,<100,<1,'male mar/wid',25<=X<30,skilled,yes
812,0<=X<200,paid,radio/tv,X<1K,<100,4<=X<7,'male mar/wid',25<=X<30,unskilled,yes
813,<0,'critical/other existing credit',car,5K<=X<10K,<100,4<=X<7,'male single',X<25,skilled,no
814,<0,paid,furniture,3K<=X<4K,<100,1<=X<4,'male single',X>=50,skilled,no
815,<0,paid,car,3K<=X<4K,<100,4<=X<7,'male single',40<=X<50,skilled,no
816,0<=X<200,'delayed previously',car,5K<=X<10K,<100,1<=X<4,'female div/sep/mar',X>=50,skilled,yes
817,'no checking',paid,furniture,1K<=X<2K,500<=X<1000,1<=X<4,'male div/sep',X>=50,skilled,yes
818,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,4<=X<7,'female div/sep/mar',X<25,skilled,yes
819,<0,paid,other,X>=10K,<100,unemployed,'male div/sep',40<=X<50,'highly skilled',yes
820,<0,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male mar/wid',25<=X<30,skilled,no
822,>=200,paid,radio/tv,3K<=X<4K,<100,1<=X<4,'male mar/wid',X<25,skilled,yes
823,<0,paid,furniture,2K<=X<3K,<100,>=7,'male single',40<=X<50,skilled,no
824,<0,'critical/other existing credit',car,X<1K,<100,>=7,'male single',40<=X<50,unskilled,yes
825,'no checking','critical/other existing credit',furniture,3K<=X<4K,<100,<1,'male div/sep',30<=X<40,'highly skilled',yes
826,<0,'critical/other existing credit',car,1K<=X<2K,<100,>=7,'male mar/wid',30<=X<40,skilled,yes
827,<0,'critical/other existing credit',car,3K<=X<4K,<100,>=7,'female div/sep/mar',30<=X<40,skilled,no
828,'no checking',paid,business,4K<=X<5K,<100,1<=X<4,'male single',30<=X<40,skilled,no
829,<0,paid,car,5K<=X<10K,0,>=7,'male single',40<=X<50,skilled,no
830,0<=X<200,'delayed previously',business,5K<=X<10K,0,1<=X<4,'male single',30<=X<40,skilled,yes
831,'no checking','delayed previously',business,2K<=X<3K,500<=X<1000,1<=X<4,'male single',40<=X<50,skilled,yes
832,<0,paid,car,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,no
833,<0,paid,business,X>=10K,<100,>=7,'male single',25<=X<30,skilled,no
834,0<=X<200,paid,radio/tv,5K<=X<10K,0,>=7,'female div/sep/mar',40<=X<50,skilled,yes
835,>=200,paid,radio/tv,2K<=X<3K,<100,<1,'female div/sep/mar',25<=X<30,unskilled,no
836,<0,paid,car,1K<=X<2K,<100,1<=X<4,'male single',40<=X<50,skilled,no
837,'no checking',paid,radio/tv,X<1K,0,1<=X<4,'female div/sep/mar',X<25,skilled,yes
838,'no checking',paid,furniture,X<1K,<100,<1,'female div/sep/mar',X<25,unskilled,yes
839,<0,'critical/other existing credit',car,2K<=X<3K,<100,>=7,'male single',X>=50,skilled,yes
840,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,<100,>=7,'male mar/wid',40<=X<50,skilled,yes
841,<0,paid,furniture,5K<=X<10K,<100,4<=X<7,'male single',25<=X<30,skilled,no
842,'no checking','delayed previously',car,2K<=X<3K,<100,1<=X<4,'male single',25<=X<30,unskilled,yes
843,'no checking',paid,repairs,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,no
844,'no checking',paid,business,1K<=X<2K,<100,4<=X<7,'male single',X>=50,skilled,yes
845,'no checking',paid,furniture,3K<=X<4K,<100,>=7,'male single',40<=X<50,skilled,yes
846,0<=X<200,paid,furniture,3K<=X<4K,0,4<=X<7,'male single',30<=X<40,skilled,yes
847,'no checking',paid,car,5K<=X<10K,0,1<=X<4,'male single',X>=50,skilled,no
848,'no checking',paid,car,1K<=X<2K,<100,<1,'male mar/wid',25<=X<30,skilled,yes
849,<0,paid,radio/tv,1K<=X<2K,<100,4<=X<7,'male single',X>=50,skilled,yes
850,<0,paid,radio/tv,X<1K,<100,>=7,'male single',X>=50,unskilled,no
851,<0,'critical/other existing credit',car,2K<=X<3K,<100,1<=X<4,'male mar/wid',30<=X<40,skilled,no
852,'no checking','critical/other existing credit',car,4K<=X<5K,0,4<=X<7,'male single',40<=X<50,skilled,yes
853,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
854,<0,paid,car,1K<=X<2K,<100,4<=X<7,'male single',30<=X<40,unskilled,no
855,'no checking','delayed previously',car,X>=10K,<100,>=7,'male single',40<=X<50,skilled,yes
856,'no checking',paid,car,1K<=X<2K,100<=X<500,<1,'male mar/wid',30<=X<40,skilled,yes
857,'no checking',paid,other,X<1K,0,4<=X<7,'female div/sep/mar',40<=X<50,skilled,yes
858,'no checking','critical/other existing credit',furniture,3K<=X<4K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
859,<0,paid,car,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
860,'no checking',paid,car,3K<=X<4K,100<=X<500,1<=X<4,'male single',25<=X<30,skilled,yes
861,'no checking','critical/other existing credit',car,5K<=X<10K,>=1000,1<=X<4,'male single',25<=X<30,skilled,yes
862,'no checking','delayed previously',business,2K<=X<3K,<100,1<=X<4,'male mar/wid',25<=X<30,skilled,no
863,<0,paid,radio/tv,2K<=X<3K,<100,<1,'female div/sep/mar',30<=X<40,skilled,no
864,'no checking','critical/other existing credit',furniture,4K<=X<5K,>=1000,<1,'male single',30<=X<40,unskilled,yes
865,'no checking',paid,furniture,2K<=X<3K,<100,1<=X<4,'male single',25<=X<30,unskilled,no
866,'no checking',paid,furniture,2K<=X<3K,500<=X<1000,1<=X<4,'female div/sep/mar',X<25,skilled,yes
867,<0,paid,radio/tv,2K<=X<3K,<100,<1,'female div/sep/mar',25<=X<30,skilled,yes
868,'no checking','critical/other existing credit',furniture,3K<=X<4K,<100,>=7,'male single',40<=X<50,skilled,yes
869,'no checking',paid,business,5K<=X<10K,0,>=7,'male single',30<=X<40,skilled,yes
870,<0,paid,furniture,X<1K,<100,>=7,'female div/sep/mar',X<25,skilled,yes
871,'no checking','delayed previously',furniture,5K<=X<10K,500<=X<1000,4<=X<7,'female div/sep/mar',40<=X<50,skilled,yes
872,>=200,'critical/other existing credit',car,1K<=X<2K,<100,>=7,'male single',40<=X<50,skilled,yes
873,<0,'critical/other existing credit',business,1K<=X<2K,100<=X<500,4<=X<7,'male single',25<=X<30,skilled,yes
874,'no checking',paid,furniture,X<1K,0,<1,'female div/sep/mar',X<25,skilled,yes
875,<0,paid,furniture,3K<=X<4K,<100,1<=X<4,'male single',25<=X<30,unskilled,yes
876,0<=X<200,'critical/other existing credit',car,1K<=X<2K,>=1000,1<=X<4,'female div/sep/mar',40<=X<50,skilled,yes
877,<0,paid,radio/tv,1K<=X<2K,<100,<1,'male single',30<=X<40,'highly skilled',yes
878,'no checking',paid,radio/tv,3K<=X<4K,<100,>=7,'male single',25<=X<30,skilled,yes
879,<0,paid,car,1K<=X<2K,<100,<1,'male single',25<=X<30,'highly skilled',no
880,'no checking','critical/other existing credit',radio/tv,5K<=X<10K,0,4<=X<7,'male single',30<=X<40,skilled,yes
881,'no checking',paid,car,5K<=X<10K,<100,4<=X<7,'male single',30<=X<40,'highly skilled',yes
882,'no checking',paid,car,5K<=X<10K,0,1<=X<4,'male div/sep',40<=X<50,skilled,yes
883,0<=X<200,'critical/other existing credit',car,2K<=X<3K,0,>=7,'male single',30<=X<40,skilled,yes
884,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,unemployed,'female div/sep/mar',X>=50,unskilled,yes
885,0<=X<200,paid,furniture,4K<=X<5K,<100,4<=X<7,'male div/sep',40<=X<50,skilled,no
886,<0,paid,education,X<1K,<100,<1,'female div/sep/mar',X>=50,skilled,no
887,0<=X<200,'critical/other existing credit',business,2K<=X<3K,0,4<=X<7,'male single',30<=X<40,skilled,yes
888,0<=X<200,paid,business,X>=10K,<100,1<=X<4,'male single',X<25,skilled,no
889,'no checking','critical/other existing credit',car,5K<=X<10K,<100,>=7,'male single',30<=X<40,'highly skilled',yes
890,'no checking',paid,car,5K<=X<10K,0,<1,'male single',40<=X<50,skilled,yes
891,<0,'critical/other existing credit',business,2K<=X<3K,<100,>=7,'male single',40<=X<50,'highly skilled',yes
892,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,>=7,'male single',40<=X<50,skilled,yes
893,<0,'critical/other existing credit',car,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,unskilled,yes
894,0<=X<200,'critical/other existing credit',car,5K<=X<10K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
895,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,0,1<=X<4,'male single',25<=X<30,skilled,yes
896,'no checking','delayed previously',car,5K<=X<10K,0,4<=X<7,'male single',30<=X<40,'highly skilled',yes
897,<0,paid,radio/tv,2K<=X<3K,<100,<1,'female div/sep/mar',25<=X<30,'highly skilled',yes
898,'no checking','critical/other existing credit',furniture,1K<=X<2K,>=1000,4<=X<7,'female div/sep/mar',30<=X<40,skilled,yes
899,'no checking',paid,furniture,2K<=X<3K,0,4<=X<7,'female div/sep/mar',30<=X<40,unskilled,yes
900,<0,paid,furniture,4K<=X<5K,<100,1<=X<4,'male single',40<=X<50,skilled,no
901,<0,'critical/other existing credit',car,2K<=X<3K,<100,>=7,'male single',40<=X<50,skilled,no
902,'no checking','critical/other existing credit',car,3K<=X<4K,0,<1,'male div/sep',40<=X<50,skilled,yes
903,'no checking','critical/other existing credit',car,X>=10K,0,>=7,'male single',40<=X<50,skilled,yes
904,'no checking',paid,radio/tv,1K<=X<2K,0,1<=X<4,'male mar/wid',40<=X<50,skilled,yes
905,'no checking',paid,radio/tv,1K<=X<2K,<100,>=7,'male single',30<=X<40,'highly skilled',yes
906,<0,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male single',X<25,'highly skilled',yes
907,<0,paid,car,3K<=X<4K,0,4<=X<7,'male single',X<25,unskilled,yes
908,0<=X<200,paid,education,3K<=X<4K,0,1<=X<4,'male mar/wid',25<=X<30,skilled,yes
909,'no checking','delayed previously',car,3K<=X<4K,<100,<1,'female div/sep/mar',40<=X<50,unskilled,yes
910,0<=X<200,paid,car,3K<=X<4K,0,1<=X<4,'female div/sep/mar',30<=X<40,unskilled,yes
911,'no checking','delayed previously',radio/tv,4K<=X<5K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
912,0<=X<200,'critical/other existing credit',furniture,4K<=X<5K,<100,<1,'female div/sep/mar',25<=X<30,unskilled,no
913,0<=X<200,paid,radio/tv,2K<=X<3K,0,>=7,'female div/sep/mar',25<=X<30,skilled,yes
914,'no checking',paid,business,2K<=X<3K,>=1000,>=7,'male div/sep',25<=X<30,skilled,yes
915,<0,paid,business,3K<=X<4K,<100,1<=X<4,'male single',30<=X<40,skilled,no
916,0<=X<200,paid,other,X>=10K,<100,1<=X<4,'female div/sep/mar',30<=X<40,'highly skilled',no
917,'no checking',paid,car,2K<=X<3K,100<=X<500,1<=X<4,'male single',30<=X<40,skilled,yes
918,<0,paid,car,X>=10K,<100,>=7,'male single',X>=50,'highly skilled',no
919,<0,paid,furniture,2K<=X<3K,100<=X<500,unemployed,'male div/sep',30<=X<40,skilled,no
920,<0,paid,furniture,3K<=X<4K,<100,>=7,'male single',30<=X<40,'highly skilled',no
921,'no checking','critical/other existing credit',furniture,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
922,'no checking','delayed previously',radio/tv,X>=10K,500<=X<1000,4<=X<7,'male single',30<=X<40,'highly skilled',yes
923,<0,paid,radio/tv,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,no
924,0<=X<200,paid,car,2K<=X<3K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
925,<0,paid,furniture,5K<=X<10K,<100,<1,'male div/sep',X>=50,skilled,no
926,<0,paid,car,X<1K,<100,<1,'male single',40<=X<50,skilled,no
927,<0,'critical/other existing credit',furniture,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,yes
928,<0,paid,car,X>=10K,<100,4<=X<7,'male single',30<=X<40,skilled,no
929,'no checking',paid,radio/tv,1K<=X<2K,0,>=7,'male single',X>=50,skilled,yes
930,<0,'delayed previously',car,1K<=X<2K,<100,1<=X<4,'male single',40<=X<50,unskilled,yes
931,<0,paid,furniture,1K<=X<2K,<100,<1,'male single',X<25,unskilled,yes
932,0<=X<200,paid,radio/tv,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,no
933,'no checking','critical/other existing credit',car,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
934,'no checking','critical/other existing credit',radio/tv,X<1K,500<=X<1000,>=7,'male single',40<=X<50,skilled,yes
935,<0,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,yes
936,0<=X<200,'delayed previously',radio/tv,1K<=X<2K,100<=X<500,<1,'male single',30<=X<40,'highly skilled',no
937,>=200,paid,radio/tv,X<1K,<100,1<=X<4,'female div/sep/mar',25<=X<30,unskilled,no
938,0<=X<200,paid,radio/tv,2K<=X<3K,<100,<1,'male mar/wid',30<=X<40,'highly skilled',yes
939,0<=X<200,paid,education,5K<=X<10K,<100,1<=X<4,'male single',40<=X<50,skilled,no
940,'no checking','critical/other existing credit',car,5K<=X<10K,0,1<=X<4,'male single',40<=X<50,'highly skilled',yes
941,'no checking',paid,car,3K<=X<4K,0,<1,'male single',40<=X<50,'highly skilled',yes
942,'no checking',paid,car,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,unskilled,yes
943,'no checking',paid,furniture,X<1K,0,4<=X<7,'male single',30<=X<40,skilled,yes
944,'no checking','critical/other existing credit',car,1K<=X<2K,<100,4<=X<7,'male single',40<=X<50,unskilled,yes
945,<0,paid,furniture,1K<=X<2K,<100,<1,'female div/sep/mar',40<=X<50,skilled,yes
946,0<=X<200,paid,car,5K<=X<10K,500<=X<1000,<1,'female div/sep/mar',30<=X<40,skilled,yes
947,<0,paid,furniture,3K<=X<4K,500<=X<1000,<1,'male single',30<=X<40,skilled,no
948,'no checking',paid,car,2K<=X<3K,0,unemployed,'male single',30<=X<40,'highly skilled',yes
949,'no checking',paid,furniture,1K<=X<2K,<100,<1,'male mar/wid',40<=X<50,unskilled,no
950,'no checking',paid,radio/tv,3K<=X<4K,100<=X<500,>=7,'male single',30<=X<40,skilled,no
951,0<=X<200,'critical/other existing credit',business,3K<=X<4K,<100,unemployed,'male mar/wid',40<=X<50,unskilled,yes
952,<0,'delayed previously',business,2K<=X<3K,<100,4<=X<7,'male single',X<25,skilled,no
954,'no checking',paid,furniture,X>=10K,<100,unemployed,'female div/sep/mar',25<=X<30,'highly skilled',no
955,<0,paid,car,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
956,<0,'critical/other existing credit',radio/tv,1K<=X<2K,>=1000,>=7,'female div/sep/mar',X>=50,'highly skilled',yes
957,>=200,'critical/other existing credit',radio/tv,3K<=X<4K,0,>=7,'male single',40<=X<50,unskilled,yes
958,0<=X<200,'critical/other existing credit',radio/tv,1K<=X<2K,<100,>=7,'male single',30<=X<40,unskilled,yes
959,<0,paid,car,4K<=X<5K,<100,1<=X<4,'male single',40<=X<50,unskilled,no
960,0<=X<200,paid,furniture,3K<=X<4K,100<=X<500,>=7,'male single',30<=X<40,skilled,yes
961,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,>=7,'male mar/wid',30<=X<40,skilled,yes
962,0<=X<200,'delayed previously',car,2K<=X<3K,<100,1<=X<4,'male div/sep',40<=X<50,skilled,yes
963,'no checking',paid,car,3K<=X<4K,0,1<=X<4,'male single',25<=X<30,skilled,yes
964,'no checking',paid,radio/tv,2K<=X<3K,500<=X<1000,>=7,'male single',30<=X<40,skilled,no
965,0<=X<200,paid,repairs,X<1K,<100,<1,'male mar/wid',X<25,unskilled,yes
966,0<=X<200,paid,radio/tv,1K<=X<2K,0,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
967,0<=X<200,'critical/other existing credit',radio/tv,2K<=X<3K,500<=X<1000,1<=X<4,'male single',X<25,unskilled,no
968,'no checking',paid,radio/tv,3K<=X<4K,<100,>=7,'female div/sep/mar',X>=50,'highly skilled',yes
969,'no checking',paid,radio/tv,5K<=X<10K,0,4<=X<7,'male mar/wid',25<=X<30,skilled,yes
970,<0,'critical/other existing credit',car,3K<=X<4K,<100,1<=X<4,'male single',40<=X<50,unskilled,yes
971,0<=X<200,paid,repairs,1K<=X<2K,100<=X<500,1<=X<4,'male single',X<25,skilled,yes
972,'no checking',paid,car,5K<=X<10K,<100,1<=X<4,'male single',40<=X<50,unskilled,yes
973,<0,paid,car,1K<=X<2K,<100,unemployed,'female div/sep/mar',25<=X<30,unskilled,no
974,<0,paid,business,5K<=X<10K,<100,>=7,'male single',30<=X<40,skilled,no
975,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
976,>=200,paid,radio/tv,1K<=X<2K,500<=X<1000,1<=X<4,'female div/sep/mar',X>=50,unskilled,yes
977,0<=X<200,paid,radio/tv,X<1K,<100,1<=X<4,'female div/sep/mar',X>=50,skilled,yes
978,0<=X<200,'delayed previously',business,2K<=X<3K,0,>=7,'male single',40<=X<50,skilled,yes
979,'no checking','delayed previously',car,2K<=X<3K,<100,>=7,'male single',40<=X<50,unskilled,no
980,0<=X<200,paid,car,1K<=X<2K,100<=X<500,1<=X<4,'male mar/wid',25<=X<30,skilled,no
981,0<=X<200,'critical/other existing credit',furniture,5K<=X<10K,<100,4<=X<7,'male single',40<=X<50,skilled,no
982,'no checking',paid,business,4K<=X<5K,<100,unemployed,'male single',30<=X<40,'highly skilled',no
983,>=200,paid,car,2K<=X<3K,100<=X<500,1<=X<4,'female div/sep/mar',25<=X<30,'highly skilled',yes
984,<0,paid,car,5K<=X<10K,<100,1<=X<4,'male single',25<=X<30,skilled,no
985,'no checking','critical/other existing credit',furniture,2K<=X<3K,<100,4<=X<7,'male single',30<=X<40,unskilled,yes
986,<0,'critical/other existing credit',furniture,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
987,>=200,paid,business,5K<=X<10K,<100,<1,'male div/sep',30<=X<40,skilled,yes
988,'no checking',paid,radio/tv,1K<=X<2K,100<=X<500,unemployed,'female div/sep/mar',X>=50,skilled,yes
989,<0,paid,car,5K<=X<10K,<100,unemployed,'male single',25<=X<30,'highly skilled',yes
990,0<=X<200,'critical/other existing credit',radio/tv,1K<=X<2K,<100,>=7,'male single',40<=X<50,unskilled,yes
991,'no checking','critical/other existing credit',education,3K<=X<4K,0,<1,'male single',30<=X<40,unskilled,yes
992,'no checking',paid,radio/tv,1K<=X<2K,100<=X<500,>=7,'male single',30<=X<40,unskilled,yes
993,<0,paid,radio/tv,1K<=X<2K,0,4<=X<7,'male mar/wid',X<25,unskilled,yes
994,<0,paid,furniture,3K<=X<4K,<100,unemployed,'male single',30<=X<40,'highly skilled',yes
995,'no checking',paid,car,2K<=X<3K,0,>=7,'male single',X>=50,skilled,yes
996,'no checking',paid,furniture,1K<=X<2K,<100,4<=X<7,'female div/sep/mar',30<=X<40,unskilled,yes
997,<0,paid,car,3K<=X<4K,<100,1<=X<4,'male div/sep',40<=X<50,'highly skilled',yes
998,'no checking',paid,radio/tv,X<1K,<100,>=7,'male single',30<=X<40,skilled,yes
999,<0,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male single',X<25,skilled,no
1000,0<=X<200,'critical/other existing credit',car,4K<=X<5K,100<=X<500,unemployed,'male single',25<=X<30,skilled,yes
